,Pair,RC,IRS,STS,VTS,RRS,SD,TD,Target
0,"(27, 28)",70,20.83333333,15,20,100,2,403,0
1,"(27, 29)",70,40,10,15,100,4,259,0
2,"(27, 30)",80,41.66666667,0,5,100,2,66,0
3,"(27, 31)",50,25,50,55,100,6,21,0
4,"(27, 32)",60,35.71428571,0,5,95,8,428,0
5,"(27, 33)",85,83.33333333,45,50,100,3,138,0
6,"(27, 34)",45,48.71794872,10,10,100,7,183,0
7,"(27, 35)",60,35.71428571,5,5,100,8,432,0
8,"(27, 36)",75,38.63636364,20,25,100,5,173,0
9,"(27, 37)",75,36.66666667,15,20,95,1,401,1
10,"(27, 38)",65,36.53846154,0,5,100,7,308,0
11,"(27, 39)",65,0,0,0,100,3,219,0
12,"(27, 40)",60,25,5,10,100,6,512,0
13,"(27, 41)",65,51.51515152,40,40,100,5,9,0
14,"(27, 42)",45,25.75757576,0,0,100,5,160,0
15,"(27, 43)",65,15.47619048,10,10,100,1,383,0
16,"(27, 44)",70,40,30,35,100,4,182,0
17,"(27, 45)",45,12.17948718,5,10,100,7,498,0
18,"(27, 46)",45,45.09803922,10,10,100,11,345,0
19,"(27, 47)",70,33.33333333,5,10,100,0,418,0
20,"(27, 48)",85,83.33333333,35,40,100,3,138,0
21,"(27, 49)",80,33.33333333,0,10,100,0,559,0
22,"(27, 50)",80,50,5,10,100,0,517,0
23,"(27, 51)",95,92.85714286,100,95,100,1,7,1
24,"(27, 52)",70,26.66666667,0,5,100,4,178,0
25,"(27, 53)",70,40,10,15,100,4,277,0
26,"(27, 54)",55,0,0,0,100,5,164,0
27,"(27, 55)",45,45.09803922,10,10,100,11,364,0
28,"(28, 29)",50,17.5,5,10,100,6,144,0
29,"(28, 30)",90,50,30,35,100,0,469,0
30,"(28, 31)",40,33.33333333,15,15,100,8,382,0
31,"(28, 32)",50,32.14285714,0,5,95,10,25,0
32,"(28, 33)",65,36.11111111,20,25,100,5,265,0
33,"(28, 34)",55,32.69230769,0,0,100,9,220,0
34,"(28, 35)",50,32.14285714,0,5,100,10,29,0
35,"(28, 36)",45,17.04545455,65,70,100,7,230,0
36,"(28, 37)",95,90,100,100,95,1,2,0
37,"(28, 38)",55,32.69230769,0,0,100,9,95,0
38,"(28, 39)",45,18.05555556,0,0,100,5,184,0
39,"(28, 40)",50,33.33333333,10,15,100,8,109,0
40,"(28, 41)",55,34.09090909,20,25,100,7,394,0
41,"(28, 42)",35,17.04545455,0,0,100,7,243,0
42,"(28, 43)",85,58.92857143,0,5,100,3,20,0
43,"(28, 44)",60,35,5,10,100,6,221,0
44,"(28, 45)",55,32.69230769,5,10,100,9,95,0
45,"(28, 46)",35,30.88235294,10,15,100,13,58,0
46,"(28, 47)",90,41.66666667,5,10,100,2,15,0
47,"(28, 48)",65,36.11111111,20,25,100,5,265,0
48,"(28, 49)",70,41.66666667,0,5,100,2,156,0
49,"(28, 50)",70,41.66666667,0,5,100,2,114,0
50,"(28, 51)",65,19.64285714,15,20,100,3,410,0
51,"(28, 52)",50,35,15,15,100,6,225,0
52,"(28, 53)",50,17.5,0,5,100,6,126,0
53,"(28, 54)",35,17.04545455,0,0,100,7,239,0
54,"(28, 55)",35,30.88235294,0,5,100,13,39,0
55,"(29, 30)",60,35,5,10,100,6,325,0
56,"(29, 31)",70,55,5,5,100,2,238,0
57,"(29, 32)",60,34.28571429,0,5,95,4,169,0
58,"(29, 33)",55,31.66666667,20,25,100,1,121,0
59,"(29, 34)",45,26.53846154,30,30,100,3,76,0
60,"(29, 35)",60,25.71428571,0,5,100,4,173,0
61,"(29, 36)",55,28.63636364,5,10,100,1,86,0
62,"(29, 37)",55,15,5,10,95,5,142,0
63,"(29, 38)",65,35.38461538,20,20,100,3,49,0
64,"(29, 39)",65,42.22222222,0,0,100,1,40,0
65,"(29, 40)",60,45.83333333,20,20,100,2,253,0
66,"(29, 41)",75,38.18181818,15,20,100,1,250,0
67,"(29, 42)",55,28.63636364,30,30,100,1,99,0
68,"(29, 43)",45,24.28571429,5,10,100,3,124,0
69,"(29, 44)",50,30,25,30,100,0,77,0
70,"(29, 45)",55,35.38461538,25,30,100,3,239,0
71,"(29, 46)",55,47.64705882,40,45,100,7,86,0
72,"(29, 47)",40,26.66666667,5,10,100,4,159,0
73,"(29, 48)",55,31.66666667,15,25,100,1,121,0
74,"(29, 49)",70,26.66666667,0,5,100,4,300,0
75,"(29, 50)",70,40,0,5,100,4,258,0
76,"(29, 51)",65,36.42857143,15,20,100,3,266,0
77,"(29, 52)",70,30,0,0,100,0,81,0
78,"(29, 53)",100,100,45,50,100,0,18,1
79,"(29, 54)",55,38.18181818,0,0,100,1,95,0
80,"(29, 55)",55,47.64705882,40,45,100,7,105,0
81,"(30, 31)",50,33.33333333,0,0,100,8,87,0
82,"(30, 32)",50,16.07142857,0,5,95,10,494,0
83,"(30, 33)",75,54.16666667,5,10,100,5,204,0
84,"(30, 34)",45,32.69230769,0,0,100,9,249,0
85,"(30, 35)",50,16.07142857,0,5,100,10,498,1
86,"(30, 36)",55,51.13636364,35,40,100,7,239,0
87,"(30, 37)",85,45,30,35,95,1,467,0
88,"(30, 38)",55,49.03846154,0,0,100,9,374,0
89,"(30, 39)",55,36.11111111,0,0,100,5,285,0
90,"(30, 40)",50,50,5,10,100,8,578,0
91,"(30, 41)",55,34.09090909,0,5,100,7,75,0
92,"(30, 42)",45,34.09090909,0,0,100,7,226,0
93,"(30, 43)",75,19.64285714,0,5,100,3,449,0
94,"(30, 44)",70,17.5,5,10,100,6,248,0
95,"(30, 45)",55,32.69230769,5,10,100,9,564,0
96,"(30, 46)",35,30.88235294,0,5,100,13,411,0
97,"(30, 47)",80,41.66666667,5,10,100,2,484,0
98,"(30, 48)",75,54.16666667,5,5,100,5,204,0
99,"(30, 49)",80,62.5,0,5,100,2,625,0
100,"(30, 50)",80,41.66666667,0,5,100,2,583,0
101,"(30, 51)",75,39.28571429,0,5,100,3,59,0
102,"(30, 52)",50,17.5,0,0,100,6,244,0
103,"(30, 53)",60,35,0,5,100,6,343,0
104,"(30, 54)",45,34.09090909,0,0,100,7,230,0
105,"(30, 55)",35,30.88235294,0,5,100,13,430,0
106,"(31, 32)",40,23.21428571,0,0,95,2,407,0
107,"(31, 33)",55,29.16666667,55,55,100,3,117,0
108,"(31, 34)",25,16.02564103,10,15,100,1,162,0
109,"(31, 35)",40,23.21428571,0,0,100,2,411,0
110,"(31, 36)",45,34.84848485,30,20,100,1,152,0
111,"(31, 37)",45,28.33333333,15,15,95,7,380,0
112,"(31, 38)",55,24.03846154,10,15,100,1,287,0
113,"(31, 39)",65,38.88888889,0,0,100,3,198,0
114,"(31, 40)",60,33.33333333,5,5,100,0,491,0
115,"(31, 41)",45,26.13636364,50,50,100,1,12,0
116,"(31, 42)",65,26.13636364,0,5,100,1,139,0
117,"(31, 43)",35,11.30952381,5,5,100,5,362,0
118,"(31, 44)",50,36.66666667,25,25,100,2,161,0
119,"(31, 45)",55,32.05128205,5,5,100,1,477,0
120,"(31, 46)",65,35.53921569,10,10,100,5,324,0
121,"(31, 47)",30,12.5,5,5,100,6,397,0
122,"(31, 48)",55,29.16666667,50,50,100,3,117,0
123,"(31, 49)",70,50,5,5,100,6,538,0
124,"(31, 50)",70,62.5,5,5,100,6,496,0
125,"(31, 51)",45,22.61904762,50,50,100,5,28,0
126,"(31, 52)",50,9.166666667,15,20,100,2,157,0
127,"(31, 53)",70,55,10,10,100,2,256,0
128,"(31, 54)",55,34.84848485,0,0,100,1,143,0
129,"(31, 55)",65,35.53921569,10,10,100,5,343,0
130,"(32, 33)",65,36.50793651,0,5,95,5,290,0
131,"(32, 34)",75,37.08791209,0,5,95,1,245,0
132,"(32, 35)",90,85.71428571,85,100,95,0,4,0
133,"(32, 36)",65,48.7012987,0,5,95,3,255,0
134,"(32, 37)",55,27.14285714,0,5,90,9,27,0
135,"(32, 38)",75,37.08791209,10,10,95,1,120,0
136,"(32, 39)",55,27.38095238,0,0,95,5,209,0
137,"(32, 40)",70,23.21428571,0,5,95,2,84,0
138,"(32, 41)",75,32.46753247,0,5,95,3,419,0
139,"(32, 42)",45,16.23376623,0,0,95,3,268,0
140,"(32, 43)",65,53.57142857,20,25,95,7,45,0
141,"(32, 44)",60,25.71428571,0,5,95,4,246,0
142,"(32, 45)",65,22.25274725,5,5,95,1,70,0
143,"(32, 46)",65,39.07563025,0,5,95,3,83,0
144,"(32, 47)",60,47.61904762,25,25,95,8,10,0
145,"(32, 48)",65,36.50793651,0,5,95,5,290,1
146,"(32, 49)",60,11.9047619,15,20,95,8,131,0
147,"(32, 50)",60,23.80952381,25,35,95,8,89,0
148,"(32, 51)",65,32.14285714,0,10,95,7,435,0
149,"(32, 52)",60,34.28571429,0,0,95,4,250,0
150,"(32, 53)",60,34.28571429,0,5,95,4,151,0
151,"(32, 54)",65,24.35064935,0,0,95,3,264,0
152,"(32, 55)",65,45.58823529,0,10,95,3,64,0
153,"(33, 34)",50,37.60683761,0,0,100,4,45,0
154,"(33, 35)",65,36.50793651,0,5,100,5,294,0
155,"(33, 36)",80,40.4040404,10,15,100,2,35,0
156,"(33, 37)",70,46.66666667,20,25,95,4,263,0
157,"(33, 38)",70,47.00854701,0,0,100,4,170,0
158,"(33, 39)",60,11.11111111,0,0,100,0,81,0
159,"(33, 40)",55,29.16666667,15,20,100,3,374,0
160,"(33, 41)",60,50.50505051,45,55,100,2,129,1
161,"(33, 42)",60,40.4040404,0,0,100,2,22,0
162,"(33, 43)",60,12.6984127,5,10,100,2,245,0
163,"(33, 44)",75,31.66666667,40,45,100,1,44,0
164,"(33, 45)",50,18.8034188,15,20,100,4,360,0
165,"(33, 46)",60,33.9869281,25,30,100,8,207,0
166,"(33, 47)",65,27.77777778,5,10,100,3,280,0
167,"(33, 48)",100,100,100,100,100,0,0,0
168,"(33, 49)",75,41.66666667,0,5,100,3,421,0
169,"(33, 50)",75,55.55555556,0,5,100,3,379,0
170,"(33, 51)",80,76.19047619,50,50,100,2,145,0
171,"(33, 52)",65,31.66666667,50,45,100,1,40,0
172,"(33, 53)",55,31.66666667,10,15,100,1,139,0
173,"(33, 54)",60,10.1010101,0,0,100,2,26,0
174,"(33, 55)",60,42.48366013,25,30,100,8,226,0
175,"(34, 35)",85,37.08791209,5,5,100,1,249,0
176,"(34, 36)",50,33.56643357,0,0,100,2,10,0
177,"(34, 37)",50,27.69230769,0,0,95,8,218,0
178,"(34, 38)",60,30.76923077,5,10,100,0,125,0
179,"(34, 39)",40,9.401709402,0,0,100,4,36,0
180,"(34, 40)",55,8.012820513,10,15,100,1,329,0
181,"(34, 41)",60,41.95804196,0,5,100,2,174,0
182,"(34, 42)",40,25.17482517,60,60,100,2,23,0
183,"(34, 43)",60,21.97802198,5,5,100,6,200,0
184,"(34, 44)",55,8.846153846,10,5,100,3,1,0
185,"(34, 45)",60,15.38461538,15,15,100,0,315,0
186,"(34, 46)",50,27.14932127,10,10,100,4,162,0
187,"(34, 47)",65,36.53846154,5,5,100,7,235,0
188,"(34, 48)",50,37.60683761,0,0,100,4,45,0
189,"(34, 49)",35,12.17948718,10,10,100,7,376,0
190,"(34, 50)",35,12.17948718,5,5,100,7,334,0
191,"(34, 51)",50,43.95604396,5,5,100,6,190,0
192,"(34, 52)",55,17.69230769,10,15,100,3,5,0
193,"(34, 53)",45,26.53846154,15,15,100,3,94,0
194,"(34, 54)",50,16.78321678,0,0,100,2,19,0
195,"(34, 55)",50,27.14932127,10,10,100,4,181,0
196,"(35, 36)",65,48.7012987,0,5,100,3,259,0
197,"(35, 37)",55,27.14285714,0,5,95,9,31,0
198,"(35, 38)",75,29.67032967,10,10,100,1,124,0
199,"(35, 39)",55,18.25396825,0,0,100,5,213,0
200,"(35, 40)",70,15.47619048,0,5,100,2,80,0
201,"(35, 41)",75,32.46753247,0,5,100,3,423,0
202,"(35, 42)",45,8.116883117,0,0,100,3,272,0
203,"(35, 43)",55,42.85714286,15,25,100,7,49,0
204,"(35, 44)",70,25.71428571,0,5,100,4,250,0
205,"(35, 45)",65,22.25274725,0,5,100,1,66,0
206,"(35, 46)",65,32.56302521,0,5,100,3,87,0
207,"(35, 47)",60,47.61904762,20,25,100,8,14,0
208,"(35, 48)",65,36.50793651,0,5,100,5,294,0
209,"(35, 49)",50,11.9047619,20,25,100,8,127,0
