Student,Question,Response,Score,Start,Revisions,Time
Student 01,1,option_1,1,"[""28-03-2023 05:52:41"", ""28-03-2023 06:00:20""]","[[""option_1"", ""28-03-2023 05:52:49""], [""option_1"", ""28-03-2023 06:00:23""]]",10
Student 01,2,option_1,1,"[""28-03-2023 05:52:49"", ""28-03-2023 06:00:20"", ""28-03-2023 06:00:23""]","[[""option_1"", ""28-03-2023 05:52:58""], [""option_1"", ""28-03-2023 06:00:24""]]",10
Student 01,3,option_4,1,"[""28-03-2023 05:52:58"", ""28-03-2023 05:57:14"", ""28-03-2023 06:00:13"", ""28-03-2023 06:00:24""]","[[""option_4"", ""28-03-2023 05:53:11""], [""option_4"", ""28-03-2023 05:57:21""], [""option_4"", ""28-03-2023 06:00:30""]]",31
Student 01,4,option_1,1,"[""28-03-2023 05:53:11"", ""28-03-2023 05:57:12"", ""28-03-2023 05:57:22"", ""28-03-2023 06:00:30""]","[[""option_1"", ""28-03-2023 05:53:21""], [""option_1"", ""28-03-2023 05:57:27""], [""option_1"", ""28-03-2023 06:00:31""]]",17
Student 01,5,option_2,1,"[""28-03-2023 05:53:21"", ""28-03-2023 05:57:27"", ""28-03-2023 06:00:31""]","[[""option_2"", ""28-03-2023 05:53:27""], [""option_2"", ""28-03-2023 05:57:32""], [""option_2"", ""28-03-2023 06:00:42""]]",20
Student 01,6,option_4,1,"[""28-03-2023 05:53:27"", ""28-03-2023 05:57:32"", ""28-03-2023 06:00:42""]","[[""option_4"", ""28-03-2023 05:53:33""], [""option_4"", ""28-03-2023 05:57:35""], [""option_4"", ""28-03-2023 06:00:44""]]",11
Student 01,7,option_3,0,"[""28-03-2023 05:53:33"", ""28-03-2023 05:57:35"", ""28-03-2023 06:00:44""]","[[""option_3"", ""28-03-2023 05:53:48""], [""option_3"", ""28-03-2023 05:57:44""], [""option_3"", ""28-03-2023 06:00:46""]]",23
Student 01,8,option_1,1,"[""28-03-2023 05:53:48"", ""28-03-2023 05:57:44"", ""28-03-2023 06:00:13"", ""28-03-2023 06:00:46""]","[[""option_1"", ""28-03-2023 05:54:07""], [""option_1"", ""28-03-2023 05:57:51""], [""option_1"", ""28-03-2023 06:00:51""]]",31
Student 01,9,option_4,1,"[""28-03-2023 05:54:07"", ""28-03-2023 05:57:51"", ""28-03-2023 06:00:51""]","[[""option_4"", ""28-03-2023 05:54:25""], [""option_4"", ""28-03-2023 05:58:00""], [""option_4"", ""28-03-2023 06:00:53""]]",27
Student 01,10,option_1,1,"[""28-03-2023 05:54:25"", ""28-03-2023 05:58:00"", ""28-03-2023 06:00:53""]","[[""option_1"", ""28-03-2023 05:54:50""], [""option_1"", ""28-03-2023 05:58:10""], [""option_1"", ""28-03-2023 06:00:55""]]",37
Student 01,11,option_3,0,"[""28-03-2023 05:54:50"", ""28-03-2023 05:58:10"", ""28-03-2023 06:00:55""]","[[""option_3"", ""28-03-2023 05:55:26""], [""option_3"", ""28-03-2023 05:58:19""], [""option_3"", ""28-03-2023 06:01:05""]]",53
Student 01,12,option_2,1,"[""28-03-2023 05:55:26"", ""28-03-2023 05:58:19"", ""28-03-2023 06:01:06""]","[[""option_2"", ""28-03-2023 05:55:49""], [""option_2"", ""28-03-2023 05:58:29""], [""option_2"", ""28-03-2023 06:01:09""]]",34
Student 01,13,option_1,1,"[""28-03-2023 05:55:49"", ""28-03-2023 05:58:29"", ""28-03-2023 05:58:36"", ""28-03-2023 06:01:09""]","[[""option_1"", ""28-03-2023 05:56:28""], [""option_1"", ""28-03-2023 05:58:33""], [""option_1"", ""28-03-2023 05:59:00""], [""option_1"", ""28-03-2023 06:01:15""]]",73
Student 01,14,option_2,1,"[""28-03-2023 05:56:28"", ""28-03-2023 05:58:33"", ""28-03-2023 05:59:00"", ""28-03-2023 06:01:15""]","[[""option_2"", ""28-03-2023 05:56:42""], [""option_2"", ""28-03-2023 05:59:10""], [""option_2"", ""28-03-2023 06:01:18""]]",26
Student 01,15,option_2,0,"[""28-03-2023 05:56:42"", ""28-03-2023 05:59:10"", ""28-03-2023 06:01:19""]","[[""option_2"", ""28-03-2023 05:59:21""], [""option_2"", ""28-03-2023 06:01:46""]]",68
Student 01,16,option_2,1,"[""28-03-2023 05:59:21"", ""28-03-2023 06:01:46""]","[[""option_2"", ""28-03-2023 05:59:37""], [""option_2"", ""28-03-2023 06:01:48""]]",17
Student 01,17,option_1,1,"[""28-03-2023 05:59:37"", ""28-03-2023 06:00:13"", ""28-03-2023 06:01:49""]","[[""option_1"", ""28-03-2023 05:59:42""], [""option_1"", ""28-03-2023 06:01:50""]]",6
Student 01,18,option_3,1,"[""28-03-2023 05:59:42"", ""28-03-2023 06:01:50""]","[[""option_3"", ""28-03-2023 05:59:47""], [""option_3"", ""28-03-2023 06:01:56""]]",10
Student 01,19,option_4,1,"[""28-03-2023 05:59:47"", ""28-03-2023 06:00:13"", ""28-03-2023 06:01:56""]","[[""option_4"", ""28-03-2023 05:59:59""], [""option_4"", ""28-03-2023 06:01:58""]]",12
Student 01,20,option_3,1,"[""28-03-2023 05:59:59"", ""28-03-2023 06:01:58""]","[[""option_3"", ""28-03-2023 06:00:11""], [""option_3"", ""28-03-2023 06:02:00""]]",17
Student 02,1,option_1,1,"[""28-03-2023 05:52:45"", ""28-03-2023 05:57:03"", ""28-03-2023 06:00:09"", ""28-03-2023 06:02:29"", ""28-03-2023 06:03:01""]","[[""option_1"", ""28-03-2023 05:52:54""], [""option_1"", ""28-03-2023 06:00:13""]]",55
Student 02,3,option_4,1,"[""28-03-2023 05:53:14"", ""28-03-2023 05:56:57"", ""28-03-2023 05:57:11"", ""28-03-2023 06:00:14"", ""28-03-2023 06:03:17""]","[[""option_4"", ""28-03-2023 05:53:25""], [""option_4"", ""28-03-2023 06:00:16""]]",23
Student 02,4,option_1,1,"[""28-03-2023 05:53:25"", ""28-03-2023 05:54:18"", ""28-03-2023 05:54:24"", ""28-03-2023 05:57:05"", ""28-03-2023 05:57:22"", ""28-03-2023 06:00:16"", ""28-03-2023 06:03:18""]","[[""option_2"", ""28-03-2023 05:53:35""], [""option_1"", ""28-03-2023 06:00:18""]]",45
Student 02,5,option_2,1,"[""28-03-2023 05:53:35"", ""28-03-2023 05:54:25"", ""28-03-2023 05:57:26"", ""28-03-2023 06:00:18""]","[[""option_1"", ""28-03-2023 05:53:47""], [""option_2"", ""28-03-2023 06:00:34""]]",36
Student 02,6,option_4,1,"[""28-03-2023 05:53:47"", ""28-03-2023 05:54:16"", ""28-03-2023 05:54:26"", ""28-03-2023 05:57:32"", ""28-03-2023 06:00:35""]","[[""option_4"", ""28-03-2023 05:54:02""], [""option_4"", ""28-03-2023 06:00:38""]]",22
Student 02,7,option_3,0,"[""28-03-2023 05:54:03"", ""28-03-2023 05:54:27"", ""28-03-2023 05:57:35"", ""28-03-2023 06:00:38"", ""28-03-2023 06:02:55"", ""28-03-2023 06:04:00""]","[[""option_1"", ""28-03-2023 05:54:11""], [""option_1"", ""28-03-2023 05:54:38""], [""option_3"", ""28-03-2023 05:57:46""], [""option_3"", ""28-03-2023 06:00:40""]]",35
Student 02,9,option_4,1,"[""28-03-2023 05:54:49"", ""28-03-2023 05:57:52"", ""28-03-2023 06:00:46"", ""28-03-2023 06:04:02"", ""28-03-2023 06:04:33""]","[[""option_4"", ""28-03-2023 05:55:01""], [""option_4"", ""28-03-2023 05:58:01""], [""option_4"", ""28-03-2023 06:00:48""]]",24
Student 02,10,option_1,1,"[""28-03-2023 05:55:01"", ""28-03-2023 05:58:00"", ""28-03-2023 06:00:48"", ""28-03-2023 06:01:52"", ""28-03-2023 06:04:03"", ""28-03-2023 06:04:07"", ""28-03-2023 06:04:30"", ""28-03-2023 06:04:37""]","[[""option_1"", ""28-03-2023 05:55:10""], [""option_1"", ""28-03-2023 05:58:05""], [""option_1"", ""28-03-2023 06:00:49""]]",53
Student 02,11,option_3,0,"[""28-03-2023 05:55:10"", ""28-03-2023 05:58:05"", ""28-03-2023 06:00:49"", ""28-03-2023 06:04:03"", ""28-03-2023 06:04:09""]","[[""option_1"", ""28-03-2023 05:55:28""], [""option_3"", ""28-03-2023 05:58:16""], [""option_3"", ""28-03-2023 06:00:56""]]",31
Student 02,12,option_2,1,"[""28-03-2023 05:55:28"", ""28-03-2023 05:58:16"", ""28-03-2023 06:00:56"", ""28-03-2023 06:04:06"", ""28-03-2023 06:04:28"", ""28-03-2023 06:04:38""]","[[""option_1"", ""28-03-2023 05:55:37""], [""option_2"", ""28-03-2023 05:58:29""], [""option_2"", ""28-03-2023 06:00:57""], [""option_2"", ""28-03-2023 06:00:57""]]",23
Student 02,13,option_4,0,"[""28-03-2023 05:54:22"", ""28-03-2023 05:55:37"", ""28-03-2023 05:58:29"", ""28-03-2023 06:00:57"", ""28-03-2023 06:01:50"", ""28-03-2023 06:03:42"", ""28-03-2023 06:04:10"", ""28-03-2023 06:04:43""]","[[""option_4"", ""28-03-2023 05:56:05""], [""option_4"", ""28-03-2023 05:58:33""], [""option_4"", ""28-03-2023 06:00:58""]]",50
Student 02,14,option_2,1,"[""28-03-2023 05:56:05"", ""28-03-2023 05:58:33"", ""28-03-2023 05:58:51"", ""28-03-2023 06:00:58"", ""28-03-2023 06:03:43"", ""28-03-2023 06:04:10"", ""28-03-2023 06:04:39""]","[[""option_4"", ""28-03-2023 05:56:19""], [""option_4"", ""28-03-2023 05:58:50""], [""option_2"", ""28-03-2023 05:59:00""], [""option_2"", ""28-03-2023 06:00:59""]]",45
Student 02,16,option_2,1,"[""28-03-2023 05:54:22"", ""28-03-2023 05:56:21"", ""28-03-2023 05:59:22"", ""28-03-2023 06:01:36""]","[[""option_1"", ""28-03-2023 05:56:31""], [""option_2"", ""28-03-2023 05:59:37""]]",24
Student 02,17,option_1,1,"[""28-03-2023 05:56:31"", ""28-03-2023 05:59:37"", ""28-03-2023 06:01:36""]","[[""option_1"", ""28-03-2023 05:56:36""], [""option_1"", ""28-03-2023 05:59:39""]]",6
Student 02,18,option_3,1,"[""28-03-2023 05:56:36"", ""28-03-2023 05:59:39"", ""28-03-2023 06:01:36""]","[[""option_3"", ""28-03-2023 05:56:39""], [""option_3"", ""28-03-2023 05:59:41""]]",4
Student 02,19,option_4,1,"[""28-03-2023 05:56:39"", ""28-03-2023 05:59:41"", ""28-03-2023 06:01:37""]","[[""option_4"", ""28-03-2023 05:56:42""], [""option_4"", ""28-03-2023 05:59:42""]]",3
Student 02,8,option_1,1,"[""28-03-2023 05:54:11"", ""28-03-2023 05:54:38"", ""28-03-2023 05:57:46"", ""28-03-2023 06:00:40"", ""28-03-2023 06:04:01"", ""28-03-2023 06:04:36""]","[[""option_1"", ""28-03-2023 05:57:52""], [""option_1"", ""28-03-2023 06:00:46""]]",28
Student 02,15,option_2,0,"[""28-03-2023 05:56:19"", ""28-03-2023 05:58:50"", ""28-03-2023 05:59:00"", ""28-03-2023 06:00:59"", ""28-03-2023 06:03:44"", ""28-03-2023 06:04:12""]","[[""option_2"", ""28-03-2023 05:59:22""]]",93
Student 02,2,option_1,1,"[""28-03-2023 05:52:54"", ""28-03-2023 05:54:20"", ""28-03-2023 05:54:23"", ""28-03-2023 05:56:58"", ""28-03-2023 05:57:05"", ""28-03-2023 06:00:12"", ""28-03-2023 06:03:17""]","[[""option_1"", ""28-03-2023 06:00:14""]]",27
Student 02,20,Unanswered,0,"[""28-03-2023 05:56:42"", ""28-03-2023 05:59:43"", ""28-03-2023 06:01:37""]",Unanswered,55
Student 03,1,option_2,0,"[""28-03-2023 05:52:45""]","[[""option_2"", ""28-03-2023 05:53:26""]]",39
