Student,Question,Response,Score,Submit,Start,Revisions,Time
Student 01,1,option_1,1,04:22:01,"[""01-02-2023 03:58:31"", ""01-02-2023 04:17:18"", ""01-02-2023 04:17:38"", ""01-02-2023 04:21:59""]","[[""option_1"", ""01-02-2023 03:58:55""], [""option_1"", ""01-02-2023 04:22:01""]]",56
Student 01,2,option_2,1,04:22:03,"[""01-02-2023 03:58:55"", ""01-02-2023 04:09:10"", ""01-02-2023 04:17:58"", ""01-02-2023 04:22:01""]","[[""option_2"", ""01-02-2023 03:59:41""], [""option_2"", ""01-02-2023 04:22:01""], [""option_2"", ""01-02-2023 04:22:03""]]",49
Student 01,4,option_2,1,04:22:09,"[""01-02-2023 04:00:20"", ""01-02-2023 04:00:55"", ""01-02-2023 04:09:20"", ""01-02-2023 04:12:18"", ""01-02-2023 04:19:00"", ""01-02-2023 04:22:04""]","[[""option_2"", ""01-02-2023 04:01:30""], [""option_2"", ""01-02-2023 04:19:13""], [""option_2"", ""01-02-2023 04:22:04""], [""option_2"", ""01-02-2023 04:22:09""]]",76
Student 01,5,option_1,1,04:22:05,"[""01-02-2023 04:01:30"", ""01-02-2023 04:12:18"", ""01-02-2023 04:19:13"", ""01-02-2023 04:22:04""]","[[""option_1"", ""01-02-2023 04:02:32""], [""option_1"", ""01-02-2023 04:22:05""]]",105
Student 01,6,option_2,1,04:22:05,"[""01-02-2023 04:02:32"", ""01-02-2023 04:09:18"", ""01-02-2023 04:09:29"", ""01-02-2023 04:12:19"", ""01-02-2023 04:19:55"", ""01-02-2023 04:22:05""]","[[""option_2"", ""01-02-2023 04:03:52""], [""option_2"", ""01-02-2023 04:20:09""], [""option_2"", ""01-02-2023 04:22:05""]]",93
Student 01,7,option_4,0,04:22:09,"[""01-02-2023 04:03:52"", ""01-02-2023 04:09:30"", ""01-02-2023 04:12:20"", ""01-02-2023 04:20:09"", ""01-02-2023 04:22:06""]","[[""option_4"", ""01-02-2023 04:05:21""], [""option_4"", ""01-02-2023 04:22:05""], [""option_4"", ""01-02-2023 04:22:09""]]",128
Student 01,8,option_1,1,04:22:06,"[""01-02-2023 04:05:21"", ""01-02-2023 04:09:31"", ""01-02-2023 04:12:22"", ""01-02-2023 04:20:43"", ""01-02-2023 04:22:06""]","[[""option_1"", ""01-02-2023 04:05:46""], [""option_1"", ""01-02-2023 04:22:06""]]",31
Student 01,9,option_2,0,04:22:07,"[""01-02-2023 04:05:46"", ""01-02-2023 04:09:33"", ""01-02-2023 04:20:45"", ""01-02-2023 04:22:07""]","[[""option_2"", ""01-02-2023 04:07:27""], [""option_2"", ""01-02-2023 04:22:07""]]",105
Student 01,10,option_3,1,04:22:09,"[""01-02-2023 04:07:27"", ""01-02-2023 04:09:35"", ""01-02-2023 04:20:49"", ""01-02-2023 04:22:08""]","[[""option_3"", ""01-02-2023 04:08:26""], [""option_3"", ""01-02-2023 04:22:08""], [""option_3"", ""01-02-2023 04:22:09""]]",63
Student 01,11,option_3,1,04:22:08,"[""01-02-2023 04:08:26"", ""01-02-2023 04:09:37"", ""01-02-2023 04:20:53"", ""01-02-2023 04:22:08""]","[[""option_3"", ""01-02-2023 04:08:40""], [""option_3"", ""01-02-2023 04:22:08""]]",16
Student 01,12,option_4,1,04:22:08,"[""01-02-2023 04:08:40"", ""01-02-2023 04:09:39"", ""01-02-2023 04:20:55"", ""01-02-2023 04:22:08""]","[[""option_4"", ""01-02-2023 04:10:15""], [""option_4"", ""01-02-2023 04:22:08""]]",67
Student 01,14,option_3,1,04:22:09,"[""01-02-2023 04:11:04"", ""01-02-2023 04:12:04"", ""01-02-2023 04:12:26"", ""01-02-2023 04:21:08"", ""01-02-2023 04:22:08""]","[[""option_3"", ""01-02-2023 04:12:08""], [""option_3"", ""01-02-2023 04:22:09""]]",60
Student 01,15,option_3,0,04:22:09,"[""01-02-2023 04:11:57"", ""01-02-2023 04:12:08"", ""01-02-2023 04:12:27"", ""01-02-2023 04:21:09"", ""01-02-2023 04:22:09""]","[[""option_3"", ""01-02-2023 04:13:15""], [""option_3"", ""01-02-2023 04:22:09""]]",68
Student 01,16,option_3,1,04:22:09,"[""01-02-2023 04:13:15"", ""01-02-2023 04:21:16"", ""01-02-2023 04:22:09""]","[[""option_3"", ""01-02-2023 04:13:23""], [""option_3"", ""01-02-2023 04:22:09""], [""option_3"", ""01-02-2023 04:22:09""]]",7
Student 01,17,option_1,0,04:22:10,"[""01-02-2023 04:13:23"", ""01-02-2023 04:21:17"", ""01-02-2023 04:22:09""]","[[""option_1"", ""01-02-2023 04:14:55""], [""option_1"", ""01-02-2023 04:22:10""]]",95
Student 01,19,option_3,1,04:22:12,"[""01-02-2023 04:16:11"", ""01-02-2023 04:21:51"", ""01-02-2023 04:21:53"", ""01-02-2023 04:22:11""]","[[""option_3"", ""01-02-2023 04:16:48""], [""option_3"", ""01-02-2023 04:22:12""], [""option_3"", ""01-02-2023 04:22:12""]]",40
Student 01,20,option_3,1,04:22:13,"[""01-02-2023 04:16:49"", ""01-02-2023 04:17:31"", ""01-02-2023 04:21:55"", ""01-02-2023 04:22:11""]","[[""option_3"", ""01-02-2023 04:21:57""], [""option_3"", ""01-02-2023 04:22:13""]]",45
Student 01,3,option_3,0,04:22:04,"[""01-02-2023 03:59:41"", ""01-02-2023 04:00:48"", ""01-02-2023 04:09:11"", ""01-02-2023 04:09:23"", ""01-02-2023 04:18:03"", ""01-02-2023 04:22:01""]","[[""option_3"", ""01-02-2023 04:22:04""]]",117
Student 01,13,option_3,0,04:22:09,"[""01-02-2023 04:10:15"", ""01-02-2023 04:20:57"", ""01-02-2023 04:22:08""]","[[""option_3"", ""01-02-2023 04:22:08""], [""option_3"", ""01-02-2023 04:22:09""]]",58
Student 01,18,option_2,0,04:22:11,"[""01-02-2023 04:14:55"", ""01-02-2023 04:21:19"", ""01-02-2023 04:21:51"", ""01-02-2023 04:22:10""]","[[""option_2"", ""01-02-2023 04:22:11""]]",108
Student 02,1,option_1,1,03:58:55,"[""01-02-2023 03:58:30"", ""01-02-2023 04:17:42""]","[[""option_1"", ""01-02-2023 03:58:55""]]",42
Student 02,2,option_2,1,03:59:42,"[""01-02-2023 03:58:55"", ""01-02-2023 04:18:00""]","[[""option_2"", ""01-02-2023 03:59:42""]]",48
Student 02,4,option_2,1,04:19:13,"[""01-02-2023 04:00:39"", ""01-02-2023 04:19:02""]","[[""option_2"", ""01-02-2023 04:01:31""], [""option_2"", ""01-02-2023 04:19:13""]]",60
Student 02,5,option_1,1,04:19:48,"[""01-02-2023 04:01:31"", ""01-02-2023 04:19:12""]","[[""option_1"", ""01-02-2023 04:02:33""], [""option_1"", ""01-02-2023 04:19:48""]]",97
Student 02,6,option_2,1,04:20:07,"[""01-02-2023 04:02:32"", ""01-02-2023 04:19:48""]","[[""option_2"", ""01-02-2023 04:04:02""], [""option_2"", ""01-02-2023 04:20:07""]]",106
Student 02,7,option_4,0,04:20:43,"[""01-02-2023 04:04:02"", ""01-02-2023 04:20:06""]","[[""option_4"", ""01-02-2023 04:05:25""], [""option_4"", ""01-02-2023 04:20:43""]]",119
Student 02,8,option_1,1,04:20:46,"[""01-02-2023 04:05:25"", ""01-02-2023 04:20:43""]","[[""option_1"", ""01-02-2023 04:05:43""], [""option_1"", ""01-02-2023 04:20:46""]]",21
Student 02,9,option_1,1,04:20:50,"[""01-02-2023 04:05:43"", ""01-02-2023 04:20:46""]","[[""option_1"", ""01-02-2023 04:07:28""], [""option_1"", ""01-02-2023 04:20:50""]]",108
Student 02,10,option_3,1,04:20:52,"[""01-02-2023 04:07:29"", ""01-02-2023 04:20:50""]","[[""option_3"", ""01-02-2023 04:08:30""], [""option_3"", ""01-02-2023 04:20:52""]]",64
Student 02,11,option_3,1,04:20:55,"[""01-02-2023 04:08:30"", ""01-02-2023 04:20:52""]","[[""option_3"", ""01-02-2023 04:08:40""], [""option_3"", ""01-02-2023 04:20:55""]]",12
Student 02,12,option_4,1,04:20:58,"[""01-02-2023 04:08:40"", ""01-02-2023 04:20:55""]","[[""option_4"", ""01-02-2023 04:10:17""], [""option_4"", ""01-02-2023 04:20:58""]]",99
Student 02,14,option_3,1,04:21:09,"[""01-02-2023 04:11:07"", ""01-02-2023 04:21:08""]","[[""option_3"", ""01-02-2023 04:12:05""], [""option_3"", ""01-02-2023 04:21:09""]]",59
Student 02,15,option_3,0,04:21:14,"[""01-02-2023 04:12:05"", ""01-02-2023 04:21:10""]","[[""option_3"", ""01-02-2023 04:13:14""], [""option_3"", ""01-02-2023 04:21:14""]]",73
Student 02,16,option_3,1,04:21:17,"[""01-02-2023 04:13:14"", ""01-02-2023 04:21:14""]","[[""option_3"", ""01-02-2023 04:13:24""], [""option_3"", ""01-02-2023 04:21:17""]]",13
Student 02,17,option_4,0,04:21:23,"[""01-02-2023 04:13:24"", ""01-02-2023 04:21:17""]","[[""option_4"", ""01-02-2023 04:14:55""], [""option_4"", ""01-02-2023 04:21:23""]]",94
Student 02,19,option_3,1,04:21:55,"[""01-02-2023 04:16:04"", ""01-02-2023 04:21:52""]","[[""option_3"", ""01-02-2023 04:16:48""], [""option_3"", ""01-02-2023 04:21:55""]]",47
