Student,Question,Response,Score,Start,Revisions,Time
Student 01,1,option_3,1,"[""09-02-2023 07:58:52""]","[[""option_3"", ""09-02-2023 07:59:03""]]",13
Student 01,2,option_2,1,"[""09-02-2023 07:59:03"", ""09-02-2023 08:12:30""]","[[""option_2"", ""09-02-2023 07:59:15""], [""option_2"", ""09-02-2023 08:12:31""]]",16
Student 01,3,option_1,1,"[""09-02-2023 07:59:15"", ""09-02-2023 08:12:20"", ""09-02-2023 08:12:24"", ""09-02-2023 08:12:31""]","[[""option_1"", ""09-02-2023 07:59:46""], [""option_1"", ""09-02-2023 08:12:50""]]",53
Student 01,4,option_3,1,"[""09-02-2023 07:59:46"", ""09-02-2023 08:12:24"", ""09-02-2023 08:12:50""]","[[""option_3"", ""09-02-2023 08:00:08""], [""option_3"", ""09-02-2023 08:12:51""]]",19
Student 01,5,option_4,1,"[""09-02-2023 08:00:09"", ""09-02-2023 08:12:20"", ""09-02-2023 08:12:51""]","[[""option_4"", ""09-02-2023 08:00:27""], [""option_4"", ""09-02-2023 08:12:54""]]",26
Student 01,6,option_1,0,"[""09-02-2023 08:00:27"", ""09-02-2023 08:10:17"", ""09-02-2023 08:12:25"", ""09-02-2023 08:12:54""]","[[""option_1"", ""09-02-2023 08:00:38""], [""option_1"", ""09-02-2023 08:12:57""]]",12
Student 01,7,option_3,1,"[""09-02-2023 08:00:38"", ""09-02-2023 08:12:57""]","[[""option_3"", ""09-02-2023 08:01:10""], [""option_3"", ""09-02-2023 08:13:00""]]",35
Student 01,8,option_4,1,"[""09-02-2023 08:01:10"", ""09-02-2023 08:12:20"", ""09-02-2023 08:13:00""]","[[""option_4"", ""09-02-2023 08:01:20""], [""option_4"", ""09-02-2023 08:13:02""]]",10
Student 01,9,option_1,1,"[""09-02-2023 08:01:20"", ""09-02-2023 08:12:20"", ""09-02-2023 08:13:02""]","[[""option_1"", ""09-02-2023 08:01:41""], [""option_1"", ""09-02-2023 08:13:12""]]",21
Student 01,10,option_2,1,"[""09-02-2023 08:01:41"", ""09-02-2023 08:10:17"", ""09-02-2023 08:13:12"", ""09-02-2023 08:13:24""]","[[""option_2"", ""09-02-2023 08:03:22""]]",142
Student 01,11,option_1,1,"[""09-02-2023 08:03:22"", ""09-02-2023 08:11:53"", ""09-02-2023 08:12:20"", ""09-02-2023 08:13:20""]","[[""option_1"", ""09-02-2023 08:04:22""]]",68
Student 01,12,option_1,1,"[""09-02-2023 08:04:22"", ""09-02-2023 08:11:52""]","[[""option_1"", ""09-02-2023 08:05:36""]]",73
